2024-02-27 11:34:48, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:37:18, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:20, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:22, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:24, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:27, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:29, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:31, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:33, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:35, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:37, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:39, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:41, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:43, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:45, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:37:47, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:49, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:37:51, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:53, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:56, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:37:58, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:38:00, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:38:02, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:38:04, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:38:06, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:38:08, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:38:10, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:38:12, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:38:14, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:17, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:19, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:21, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:23, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:25, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:27, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:29, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:31, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:33, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:35, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:38, Temperature: 25.0, Humidity: 38.6
2024-02-27 11:38:40, Temperature: 25.0, Humidity: 38.6
2024-02-27 11:38:42, Temperature: 25.0, Humidity: 38.6
2024-02-27 11:38:44, Temperature: 25.0, Humidity: 38.6
2024-02-27 11:38:46, Temperature: 25.0, Humidity: 38.6
2024-02-27 11:38:48, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:51, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:53, Temperature: 25.0, Humidity: 38.5
2024-02-27 11:38:55, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:57, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:38:59, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:39:01, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:39:03, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:39:05, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:39:08, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:39:10, Temperature: 25.0, Humidity: 38.3
2024-02-27 11:39:12, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:39:14, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:39:16, Temperature: 25.0, Humidity: 38.4
2024-02-27 11:39:18, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:39:20, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:22, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:39:24, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:39:26, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:28, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:39:30, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:39:32, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:35, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:37, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:39, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:39:41, Temperature: 25.0, Humidity: 38.2
2024-02-27 11:39:43, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:45, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:47, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:49, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:39:51, Temperature: 25.0, Humidity: 38.1
2024-02-27 11:39:53, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:39:55, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:39:57, Temperature: 25.0, Humidity: 38.0
2024-02-27 11:39:59, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:40:01, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:40:04, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:40:06, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:08, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:10, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:12, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:40:14, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:16, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:18, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:20, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:22, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:24, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:27, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:29, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:31, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:33, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:35, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:37, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:39, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:41, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:40:43, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:40:45, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:40:47, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:49, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:51, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:53, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:56, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:40:58, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:00, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:41:02, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:04, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:06, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:41:08, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:10, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:12, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:41:14, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:16, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:41:19, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:41:21, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:41:23, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:41:25, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:41:27, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:29, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:41:31, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:33, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:41:35, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:37, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:41:39, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:42, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:44, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:41:46, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:48, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:50, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:52, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:41:54, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:41:56, Temperature: 24.8, Humidity: 38.4
2024-02-27 11:41:58, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:42:00, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:42:02, Temperature: 24.8, Humidity: 38.4
2024-02-27 11:42:05, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:42:07, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:09, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:11, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:42:13, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:15, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:17, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:19, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:21, Temperature: 24.9, Humidity: 38.3
2024-02-27 11:42:23, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:25, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:42:27, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:29, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:42:31, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:33, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:42:36, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:42:38, Temperature: 24.8, Humidity: 38.1
2024-02-27 11:42:40, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:42:42, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:42:44, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:42:46, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:42:48, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:42:50, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:42:53, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:42:55, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:42:57, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:42:59, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:01, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:03, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:05, Temperature: 24.8, Humidity: 38.1
2024-02-27 11:43:07, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:09, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:11, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:13, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:16, Temperature: 24.8, Humidity: 38.1
2024-02-27 11:43:18, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:20, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:22, Temperature: 24.9, Humidity: 38.2
2024-02-27 11:43:24, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:26, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:28, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:30, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:32, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:43:34, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:36, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:38, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:40, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:43:43, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:45, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:43:47, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:49, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:51, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:53, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:43:55, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:57, Temperature: 24.9, Humidity: 38.1
2024-02-27 11:43:59, Temperature: 24.9, Humidity: 38.0
2024-02-27 11:44:01, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:44:03, Temperature: 24.9, Humidity: 37.9
2024-02-27 11:44:05, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:44:07, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:44:09, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:44:12, Temperature: 24.8, Humidity: 38.0
2024-02-27 11:44:14, Temperature: 24.8, Humidity: 38.1
2024-02-27 11:44:16, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:18, Temperature: 24.8, Humidity: 38.1
2024-02-27 11:44:20, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:22, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:24, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:44:26, Temperature: 24.8, Humidity: 38.4
2024-02-27 11:44:29, Temperature: 24.8, Humidity: 38.4
2024-02-27 11:44:31, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:44:33, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:44:35, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:37, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:44:39, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:44:42, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:44, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:46, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:48, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:50, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:52, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:54, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:56, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:44:58, Temperature: 24.8, Humidity: 38.2
2024-02-27 11:45:00, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:45:02, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:45:04, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:45:06, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:45:09, Temperature: 24.8, Humidity: 38.3
2024-02-27 11:45:11, Temperature: 24.8, Humidity: 38.4
2024-02-27 11:45:13, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:15, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:17, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:19, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:21, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:23, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:25, Temperature: 24.8, Humidity: 38.6
2024-02-27 11:45:27, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:29, Temperature: 24.8, Humidity: 38.5
2024-02-27 11:45:31, Temperature: 24.8, Humidity: 38.6
2024-02-27 11:45:33, Temperature: 24.8, Humidity: 38.6
2024-02-27 11:45:35, Temperature: 24.8, Humidity: 38.6
2024-02-27 11:45:38, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:40, Temperature: 24.8, Humidity: 38.6
2024-02-27 11:45:42, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:44, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:46, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:48, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:45:50, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:45:52, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:54, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:56, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:45:58, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:46:00, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:46:02, Temperature: 24.8, Humidity: 38.7
2024-02-27 11:46:04, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:07, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:09, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:11, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:13, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:15, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:17, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:19, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:21, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:23, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:25, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:27, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:29, Temperature: 24.8, Humidity: 38.8
2024-02-27 11:46:32, Temperature: 24.8, Humidity: 38.9
2024-02-27 11:46:34, Temperature: 24.8, Humidity: 38.9
2024-02-27 11:46:36, Temperature: 24.8, Humidity: 38.9
2024-02-27 11:46:38, Temperature: 24.8, Humidity: 38.9
2024-02-27 11:46:40, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:42, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:44, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:46, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:48, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:50, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:46:52, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:54, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:46:57, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:46:59, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:47:01, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:47:03, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:47:05, Temperature: 24.8, Humidity: 39.0
2024-02-27 11:47:07, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:09, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:11, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:13, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:15, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:17, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:19, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:21, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:23, Temperature: 24.8, Humidity: 39.1
2024-02-27 11:47:25, Temperature: 24.8, Humidity: 39.2
2024-02-27 11:47:28, Temperature: 24.8, Humidity: 39.2
2024-02-27 11:47:30, Temperature: 24.8, Humidity: 39.2
2024-02-27 11:47:32, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:34, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:36, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:38, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:40, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:42, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:44, Temperature: 24.8, Humidity: 39.3
2024-02-27 11:47:46, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:47:48, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:47:50, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:47:52, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:47:54, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:47:56, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:47:58, Temperature: 24.8, Humidity: 39.5
2024-02-27 11:48:01, Temperature: 24.8, Humidity: 39.5
2024-02-27 11:48:03, Temperature: 24.8, Humidity: 39.5
2024-02-27 11:48:05, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:48:07, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:48:09, Temperature: 24.8, Humidity: 39.5
2024-02-27 11:48:11, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:48:13, Temperature: 24.8, Humidity: 39.5
2024-02-27 11:48:15, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:48:17, Temperature: 24.8, Humidity: 39.5
2024-02-27 11:48:19, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:48:21, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:23, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:25, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:28, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:48:30, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:32, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:34, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:36, Temperature: 24.8, Humidity: 39.4
2024-02-27 11:48:38, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:40, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:42, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:44, Temperature: 24.9, Humidity: 39.3
2024-02-27 11:48:46, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:48, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:50, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:52, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:54, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:57, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:48:59, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:49:01, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:49:03, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:49:05, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:07, Temperature: 24.9, Humidity: 39.4
2024-02-27 11:49:09, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:11, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:13, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:15, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:17, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:20, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:22, Temperature: 25.0, Humidity: 39.4
2024-02-27 11:49:24, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:26, Temperature: 24.9, Humidity: 39.5
2024-02-27 11:49:28, Temperature: 24.9, Humidity: 39.5
